"id","course_id","name","status"
"1","1","B.Sc.","1"
"2","1","M.Sc","1"
"3","2","BFA","1"
"4","5","B.Sc. (Hons) – Anthropology","1"
"5","5","M.Phil (Anthropology)","1"
"6","5","M.Sc. (Anthropology)","1"
"7","5","Ph.D. (Anthropology)","1"
"8","5","Ph.D.- Part Time","1"
"9","6","B.Sc. (Hons) - Chemistry","1"
"10","6","B.Sc. (Hons) - Mathematics","1"
"11","6","B.Sc. (Hons) - Physics","1"
"12","6","Bachelor of Statistics","1"
"13","6","M.Sc. (Applied Chemistry)","1"
"14","6","M.Sc. (Applied Mathematics)","1"
"15","6","M.Sc. (Applied Physics)","1"
"16","6","M.Sc. (Medical Physics)","1"
"17","6","Master of Statistics","1"
"18","6","Ph.D. (Chemistry)","1"
"19","6","Ph.D. (Chemistry) - Part Time","1"
"20","6","Ph.D. (Mathematics)","1"
"21","6","Ph.D. (Mathematics) - Part Time","1"
"22","6","Ph.D. (Natural Product Chemistry)","1"
"23","6","Ph.D. (Natural Product Chemistry) - Part Time","1"
"24","6","Ph.D. (Physics)","1"
"25","6","Ph.D. (Physics) - Part Time","1"
"26","6","Ph.D. (Radiation Biology)","1"
"27","6","Ph.D. (Radiation Biology) - Part Time","1"
"28","6","Ph.D. (Statistics)","1"
"29","6","Ph.D. (Statistics) - Part Time","1"
"30","7","Bachelor of Architecture","1"
"31","7","Bachelor of Planning","1"
"32","7","Master of Architecture","1"
"33","7","Ph.D. (Architecture & Planning)","1"
"34","7","Ph.D. (Architecture & Planning) - Part Time","1"
"35","8","B.Sc. (Hons) - Biotechnology","1"
"36","8","B.Sc. (Hons) - Biotechnology(3 Continent )","1"
"37","8","B.Sc. (Hons) - Medical Biotechnology","1"
"38","8","B.Sc. (Hons) - Microbiology","1"
"39","8","B.Sc. (Hons) - Zoology","1"
"40","8","B.Sc. (Hons.) - Medical Biotechnology (3 Continent)","1"
"41","8","B.Sc. + M.Sc. - Biotechnology (Dual Degree)","1"
"42","8","B.Tech (Bioinformatics)","1"
"43","8","B.Tech (Biotechnology)","1"
"44","8","B.Tech (Biotechnology) Evening","1"
"45","8","B.Tech. (Biotechnology) - 3 Continent","1"
"46","8","B.Tech. + M.Tech (Biotechnology) Dual Degree","1"
"47","8","M.Sc. (Bioinformatics)","1"
"48","8","M.Sc. (Biotechnology)","1"
"49","8","M.Sc. (Microbiology)","1"
"50","8","M.Tech (Biotechnology)","1"
"51","8","MBA (Biotechnology Management)","1"
"52","8","Ph.D. (Biotechnology)","1"
"53","8","Ph.D. (Biotechnology) - Part Time","1"
"54","8","Ph.D. (Cellular & Molecular Oncology)","1"
"55","8","Ph.D. (Cellular & Molecular Oncology) - Part Time","1"
"56","8","Ph.D. (Radiation Biology)","1"
"57","8","Ph.D. (Stem Cell Science & Technology)","1"
"58","8","Ph.D. (Stem Cell Science & Technology) - Part Time","1"
"59","9","Ph.D. (Molecular Science & Engineering)","1"
"60","9","Ph.D. (Molecular Science & Engineering) - Part Time","1"
"61","10","B.Com (Finance & Investment Analysis)","1"
"62","10","B.Com. (Hons)","1"
"63","10","B.Com. (Hons) - Evening","1"
"64","10","B.Com., LL.B. (Hons)","1"
"65","10","M.Com. (Financial Management)","1"
"66","10","Master of Commerce","1"
"67","10","Ph.D. (Commerce)","1"
"68","10","Ph.D. (Commerce) - Part Time","1"
"69","10","Ph.D. (Finance)","1"
"70","10","Ph.D. (Finance) - Part Time","1"
"71","11","B.A. (Film & Television Production)","1"
"72","11","B.A. (Journalism & Mass Communication)","1"
"73","11","B.A. (Journalism & Mass Communication) - 3 Continent","1"
"74","11","B.A. (Journalism & Mass Communication) - Evening","1"
"75","11","B.A.(Mass Communication - International)","1"
"76","11","M.A. (Journalism & Mass Communication)","1"
"77","11","MA (Advertising & Marketing Management)","1"
"78","11","MA (Film & TV Production)","1"
"79","11","MA (PR & Event Management)","1"
"80","11","MBA (Media Management)","1"
"81","11","MBA (PR & Event Management)","1"
"82","11","Ph.D. (Mass Communication)","1"
"83","11","Ph.D. (Mass Communication) - Part Time","1"
"84","12","B.Sc. (IT)","1"
"85","12","BCA","1"
"86","12","BCA (Evening)","1"
"87","12","BCA + MCA (Dual Degree)","1"
"88","12","Diploma In Information Technology","1"
"89","12","Diploma in Information Technology (weekend)","1"
"90","12","M.Sc. (Network Technology & Management)","1"
"91","12","M.Tech (Computer Science & Engineering)","1"
"92","12","M.Tech (Computer Science & Engineering) Weekend","1"
"93","12","M.Tech (Information Technology)","1"
"94","12","MCA","1"
"95","12","Ph.D. (Information Technology)","1"
"96","12","Ph.D. (Information Technology) - Part Time","1"
"97","12","Post Graduate Diploma in Big Data Analytics (weekend)","1"
"98","12","Post Graduate Diploma in Network Configuration and Administration","1"
"99","12","Post Graduate Diploma in Network Configuration and Administration (weekend)","1"
"100","13","B. Des. (Product Design)","1"
"101","13","Bachelor of Interior Design","1"
"102","13","Master of Interior Design","1"
"103","14","B.A. (Hons) - Economics","1"
"104","14","B.A. (Hons) - PPE Philosophy,Politics & Economics","1"
"105","14","MA (Economics)","1"
"106","14","Ph.D. (Economics)","1"
"107","14","Ph.D. (Economics)","1"
"108","14","Ph.D. (Economics) - Part Time","1"
"109","15","B.Ed. - Special Education (Learning Disability)","1"
"110","15","B.El.Ed. (Bachelor of Elementary Education)","1"
"111","15","Bachelor of Education","1"
"112","15","Diploma in Elementary Teacher Training","1"
"113","15","Integrated B.A. B.Ed. Special Education","1"
"114","15","Integrated B.Com. B.Ed. Special Education","1"
"115","15","Integrated B.Sc. B.Ed. Special Education","1"
"116","15","Master of Education","1"
"117","15","Ph.D. (Education)","1"
"118","15","Ph.D. (Education) - Part Time","1"
"119","16","B. Tech (Civil Engg.) - 3 Continent","1"
"120","16","B. Tech (Computer Science & Engg.) - 3 Continent","1"
"121","16","B. Tech (Electronics & Communications Engg.) - 3 Continent","1"
"122","16","B.Tech (Aeronautical Engineering)","1"
"123","16","B.Tech (Aerospace Engineering)","1"
"124","16","B.Tech (Automobile Engineering)","1"
"125","16","B.Tech (Avionics)","1"
"126","16","B.Tech (Bioinformatics)","1"
"127","16","B.Tech (Biotechnology)","1"
"128","16","B.Tech (Biotechnology) Evening","1"
"129","16","B.Tech (Civil Engineering)","1"
